method,dataset,p,selective_rmse,best_hidden,best_lr,best_weight_decay,val_rmse,seconds
AutoRec (rand),ml-100k,0.0,0.8466,200,0.01,0.0001,0.8535,12.1
AutoRec (rand),ml-100k,0.05,0.8479,200,0.01,0.0001,0.8535,12.1
AutoRec (rand),ml-100k,0.1,0.8497,200,0.01,0.0001,0.8535,12.1
AutoRec (rand),ml-100k,0.2,0.8512,200,0.01,0.0001,0.8535,12.1
AutoRec (supp),ml-100k,0.0,0.8466,200,0.01,0.0001,0.8535,12.1
AutoRec (supp),ml-100k,0.05,0.8455,200,0.01,0.0001,0.8535,12.1
AutoRec (supp),ml-100k,0.1,0.842,200,0.01,0.0001,0.8535,12.1
AutoRec (supp),ml-100k,0.2,0.8327,200,0.01,0.0001,0.8535,12.1
AutoRec (rand),ml-1m,0.0,0.8679,200,0.01,0.0001,0.8789,38.1
AutoRec (rand),ml-1m,0.05,0.8678,200,0.01,0.0001,0.8789,38.1
AutoRec (rand),ml-1m,0.1,0.868,200,0.01,0.0001,0.8789,38.1
AutoRec (rand),ml-1m,0.2,0.8673,200,0.01,0.0001,0.8789,38.1
AutoRec (supp),ml-1m,0.0,0.8679,200,0.01,0.0001,0.8789,38.2
AutoRec (supp),ml-1m,0.05,0.8635,200,0.01,0.0001,0.8789,38.2
AutoRec (supp),ml-1m,0.1,0.862,200,0.01,0.0001,0.8789,38.2
AutoRec (supp),ml-1m,0.2,0.8585,200,0.01,0.0001,0.8789,38.2
AutoRec (rand),douban,0.0,0.7703,200,0.01,0.0001,0.7764,104.0
AutoRec (rand),douban,0.05,0.7702,200,0.01,0.0001,0.7764,104.0
AutoRec (rand),douban,0.1,0.77,200,0.01,0.0001,0.7764,104.0
AutoRec (rand),douban,0.2,0.77,200,0.01,0.0001,0.7764,104.0
AutoRec (supp),douban,0.0,0.7703,200,0.01,0.0001,0.7764,104.0
AutoRec (supp),douban,0.05,0.7655,200,0.01,0.0001,0.7764,104.0
AutoRec (supp),douban,0.1,0.7639,200,0.01,0.0001,0.7764,104.0
AutoRec (supp),douban,0.2,0.761,200,0.01,0.0001,0.7764,104.0
