method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_weight_decay,val_rmse,seconds
IGMC (rand),ml-100k,0.0,0.8895,16,3,0.003,0.0,0.899,3358.3
IGMC (rand),ml-100k,0.05,0.8898,16,3,0.003,0.0,0.899,3358.3
IGMC (rand),ml-100k,0.1,0.8912,16,3,0.003,0.0,0.899,3358.3
IGMC (rand),ml-100k,0.2,0.8911,16,3,0.003,0.0,0.899,3358.3
IGMC (supp),ml-100k,0.0,0.8895,16,3,0.003,0.0,0.899,3358.3
IGMC (supp),ml-100k,0.05,0.8886,16,3,0.003,0.0,0.899,3358.3
IGMC (supp),ml-100k,0.1,0.8879,16,3,0.003,0.0,0.899,3358.3
IGMC (supp),ml-100k,0.2,0.8784,16,3,0.003,0.0,0.899,3358.3
IGMC (rand),ml-1m,0.0,0.9318,16,3,0.003,0.0001,0.9393,10875.0
IGMC (rand),ml-1m,0.05,0.9318,16,3,0.003,0.0001,0.9393,10875.0
IGMC (rand),ml-1m,0.1,0.9314,16,3,0.003,0.0001,0.9393,10875.0
IGMC (rand),ml-1m,0.2,0.9304,16,3,0.003,0.0001,0.9393,10875.0
IGMC (supp),ml-1m,0.0,0.9318,16,3,0.003,0.0001,0.9393,10875.1
IGMC (supp),ml-1m,0.05,0.93,16,3,0.003,0.0001,0.9393,10875.1
IGMC (supp),ml-1m,0.1,0.9294,16,3,0.003,0.0001,0.9393,10875.1
IGMC (supp),ml-1m,0.2,0.9288,16,3,0.003,0.0001,0.9393,10875.1
IGMC (rand),douban,0.0,0.8007,32,3,0.003,0.0,0.8066,10929.5
IGMC (rand),douban,0.05,0.801,32,3,0.003,0.0,0.8066,10929.5
IGMC (rand),douban,0.1,0.8006,32,3,0.003,0.0,0.8066,10929.5
IGMC (rand),douban,0.2,0.8013,32,3,0.003,0.0,0.8066,10929.5
IGMC (supp),douban,0.0,0.8007,32,3,0.003,0.0,0.8066,10929.6
IGMC (supp),douban,0.05,0.7968,32,3,0.003,0.0,0.8066,10929.6
IGMC (supp),douban,0.1,0.7953,32,3,0.003,0.0,0.8066,10929.6
IGMC (supp),douban,0.2,0.792,32,3,0.003,0.0,0.8066,10929.6
IGMC (rand),amazon-games,0.0,1.0443,16,3,0.003,0.0001,1.0672,5406.1
IGMC (rand),amazon-games,0.05,1.0444,16,3,0.003,0.0001,1.0672,5406.1
IGMC (rand),amazon-games,0.1,1.042,16,3,0.003,0.0001,1.0672,5406.1
IGMC (rand),amazon-games,0.2,1.0426,16,3,0.003,0.0001,1.0672,5406.1
IGMC (supp),amazon-games,0.0,1.0443,16,3,0.003,0.0001,1.0672,5406.1
IGMC (supp),amazon-games,0.05,1.0401,16,3,0.003,0.0001,1.0672,5406.1
IGMC (supp),amazon-games,0.1,1.0375,16,3,0.003,0.0001,1.0672,5406.1
IGMC (supp),amazon-games,0.2,1.0347,16,3,0.003,0.0001,1.0672,5406.1
