method,dataset,p,selective_rmse,best_k,best_lr,best_lam,val_rmse,seconds
Ours (U_hat),ml-100k,0.0,0.9147,10,0.01,0.001,0.9456,17.5
Ours (U_hat),ml-100k,0.05,0.8962,10,0.01,0.001,0.9456,17.5
Ours (U_hat),ml-100k,0.1,0.8814,10,0.01,0.001,0.9456,17.5
Ours (U_hat),ml-100k,0.2,0.8359,10,0.01,0.001,0.9456,17.5
Ours (U_hat),ml-1m,0.0,0.8641,10,0.003,0.001,0.882,115.4
Ours (U_hat),ml-1m,0.05,0.8404,10,0.003,0.001,0.882,115.4
Ours (U_hat),ml-1m,0.1,0.8239,10,0.003,0.001,0.882,115.4
Ours (U_hat),ml-1m,0.2,0.7983,10,0.003,0.001,0.882,115.4
Ours (U_hat),douban,0.0,0.7601,10,0.003,0.001,0.7736,141.3
Ours (U_hat),douban,0.05,0.7433,10,0.003,0.001,0.7736,141.3
Ours (U_hat),douban,0.1,0.7224,10,0.003,0.001,0.7736,141.3
Ours (U_hat),douban,0.2,0.6927,10,0.003,0.001,0.7736,141.3
Ours (U_hat),amazon-games,0.0,1.1433,50,0.003,0.001,1.1685,70.6
Ours (U_hat),amazon-games,0.05,1.1422,50,0.003,0.001,1.1685,70.6
Ours (U_hat),amazon-games,0.1,1.1412,50,0.003,0.001,1.1685,70.6
Ours (U_hat),amazon-games,0.2,1.1324,50,0.003,0.001,1.1685,70.6
