method,dataset,p,selective_rmse,best_k,best_lr,best_weight_decay,val_rmse,seconds
Plain MF (rand),ml-100k,0.0,0.9855,10,0.003,0.001,0.9937,17.4
Plain MF (rand),ml-100k,0.05,0.9865,10,0.003,0.001,0.9937,17.4
Plain MF (rand),ml-100k,0.1,0.9889,10,0.003,0.001,0.9937,17.4
Plain MF (rand),ml-100k,0.2,0.9912,10,0.003,0.001,0.9937,17.4
Plain MF (supp),ml-100k,0.0,0.9855,10,0.003,0.001,0.9937,17.4
Plain MF (supp),ml-100k,0.05,0.9799,10,0.003,0.001,0.9937,17.4
Plain MF (supp),ml-100k,0.1,0.9755,10,0.003,0.001,0.9937,17.4
Plain MF (supp),ml-100k,0.2,0.9672,10,0.003,0.001,0.9937,17.4
Plain MF (rand),ml-1m,0.0,1.116,50,0.003,0.001,1.1177,55.5
Plain MF (rand),ml-1m,0.05,1.1163,50,0.003,0.001,1.1177,55.5
Plain MF (rand),ml-1m,0.1,1.1158,50,0.003,0.001,1.1177,55.5
Plain MF (rand),ml-1m,0.2,1.1165,50,0.003,0.001,1.1177,55.5
Plain MF (supp),ml-1m,0.0,1.116,50,0.003,0.001,1.1177,55.5
Plain MF (supp),ml-1m,0.05,1.1152,50,0.003,0.001,1.1177,55.5
Plain MF (supp),ml-1m,0.1,1.1158,50,0.003,0.001,1.1177,55.5
Plain MF (supp),ml-1m,0.2,1.1184,50,0.003,0.001,1.1177,55.5
