method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_lam,val_rmse,seconds
UA-IMC (U_hat),ml-100k,0.0,0.8876,16,3,0.003,0.0001,0.8991,1178.1
UA-IMC (U_hat),ml-100k,0.05,0.863,16,3,0.003,0.0001,0.8991,1178.1
UA-IMC (U_hat),ml-100k,0.1,0.8476,16,3,0.003,0.0001,0.8991,1178.1
UA-IMC (U_hat),ml-100k,0.2,0.8182,16,3,0.003,0.0001,0.8991,1178.1
UA-IMC (U_hat),ml-1m,0.0,0.9318,16,3,0.003,0.001,0.9406,12730.1
UA-IMC (U_hat),ml-1m,0.05,0.9128,16,3,0.003,0.001,0.9406,12730.1
UA-IMC (U_hat),ml-1m,0.1,0.8998,16,3,0.003,0.001,0.9406,12730.1
UA-IMC (U_hat),ml-1m,0.2,0.8765,16,3,0.003,0.001,0.9406,12730.1
UA-IMC (U_hat),douban,0.0,0.8014,16,3,0.003,0.0001,0.8065,12821.6
UA-IMC (U_hat),douban,0.05,0.783,16,3,0.003,0.0001,0.8065,12821.6
UA-IMC (U_hat),douban,0.1,0.77,16,3,0.003,0.0001,0.8065,12821.6
UA-IMC (U_hat),douban,0.2,0.7482,16,3,0.003,0.0001,0.8065,12821.6
UA-IMC (U_hat),amazon-games,0.0,1.0491,32,3,0.003,0.001,1.0708,5497.5
UA-IMC (U_hat),amazon-games,0.05,1.0129,32,3,0.003,0.001,1.0708,5497.5
UA-IMC (U_hat),amazon-games,0.1,0.98,32,3,0.003,0.001,1.0708,5497.5
UA-IMC (U_hat),amazon-games,0.2,0.9267,32,3,0.003,0.001,1.0708,5497.5
