method,dataset,r,val_rmse,seconds
"Plain MF (numpy, r-only)",ml-100k,2,0.8988,15.6
"Plain MF (numpy, r-only)",ml-100k,3,0.9134,15.7
"Plain MF (numpy, r-only)",ml-100k,4,0.9484,16.0
"Plain MF (numpy, r-only)",ml-100k,5,0.9401,15.8
"Plain MF (numpy, r-only)",ml-100k,1,0.9487,18.9
"Plain MF (numpy, r-only)",ml-100k,10,0.9726,16.2
"Plain MF (numpy, r-only)",ml-100k,20,1.0177,14.5
"Plain MF (numpy, r-only)",ml-100k,50,1.0317,14.8
"Plain MF (numpy, r-only)",ml-100k,100,1.0306,14.8
"Plain MF (numpy, r-only)",ml-1m,4,0.879,152.6
"Plain MF (numpy, r-only)",ml-1m,2,0.8981,154.5
"Plain MF (numpy, r-only)",ml-1m,3,0.8818,154.7
"Plain MF (numpy, r-only)",ml-1m,5,0.8715,153.6
"Plain MF (numpy, r-only)",ml-1m,10,0.8792,156.7
"Plain MF (numpy, r-only)",ml-1m,1,0.9554,188.1
"Plain MF (numpy, r-only)",ml-1m,20,0.916,147.1
"Plain MF (numpy, r-only)",ml-1m,50,1.0109,150.2
"Plain MF (numpy, r-only)",ml-1m,100,1.0904,152.3
"Plain MF (numpy, r-only)",douban,3,0.7712,197.2
"Plain MF (numpy, r-only)",douban,2,0.7732,198.6
"Plain MF (numpy, r-only)",douban,5,0.7814,198.3
"Plain MF (numpy, r-only)",douban,4,0.7753,199.8
"Plain MF (numpy, r-only)",douban,10,0.8004,201.8
"Plain MF (numpy, r-only)",douban,1,0.8172,240.0
"Plain MF (numpy, r-only)",douban,20,0.8329,182.9
"Plain MF (numpy, r-only)",douban,50,0.8935,185.6
"Plain MF (numpy, r-only)",douban,100,0.9375,187.8
"Plain MF (numpy, r-only)",amazon-games,2,1.2098,77.0
"Plain MF (numpy, r-only)",amazon-games,3,1.2021,76.8
"Plain MF (numpy, r-only)",amazon-games,4,1.2026,76.9
"Plain MF (numpy, r-only)",amazon-games,5,1.2176,77.1
"Plain MF (numpy, r-only)",amazon-games,10,1.2162,79.3
"Plain MF (numpy, r-only)",amazon-games,1,1.1977,94.8
"Plain MF (numpy, r-only)",amazon-games,20,1.204,71.8
"Plain MF (numpy, r-only)",amazon-games,50,1.1883,72.0
"Plain MF (numpy, r-only)",amazon-games,100,1.183,73.6
