method,dataset,r,val_rmse,seconds
"Plain MF (numpy, r-only)",ml-100k,2,0.9555,16.4
"Plain MF (numpy, r-only)",ml-100k,3,0.9612,16.6
"Plain MF (numpy, r-only)",ml-100k,4,0.9595,16.8
"Plain MF (numpy, r-only)",ml-100k,5,0.9598,17.7
"Plain MF (numpy, r-only)",ml-100k,10,1.0003,17.4
"Plain MF (numpy, r-only)",ml-100k,1,1.017,21.7
"Plain MF (numpy, r-only)",ml-100k,20,1.0592,15.9
"Plain MF (numpy, r-only)",ml-100k,50,1.1112,15.8
"Plain MF (numpy, r-only)",ml-100k,100,1.1011,15.8
"Plain MF (numpy, r-only)",ml-1m,2,0.8981,168.4
"Plain MF (numpy, r-only)",ml-1m,5,0.8715,168.4
"Plain MF (numpy, r-only)",ml-1m,3,0.8818,171.2
"Plain MF (numpy, r-only)",ml-1m,4,0.879,172.8
"Plain MF (numpy, r-only)",ml-1m,10,0.8792,175.0
"Plain MF (numpy, r-only)",ml-1m,1,0.9554,205.3
"Plain MF (numpy, r-only)",ml-1m,20,0.916,151.6
"Plain MF (numpy, r-only)",ml-1m,50,1.0109,153.1
"Plain MF (numpy, r-only)",ml-1m,100,1.0904,158.2
"Plain MF (numpy, r-only)",douban,2,0.7732,209.8
"Plain MF (numpy, r-only)",douban,3,0.7712,214.7
"Plain MF (numpy, r-only)",douban,4,0.7753,215.1
"Plain MF (numpy, r-only)",douban,5,0.7814,215.7
"Plain MF (numpy, r-only)",douban,10,0.8004,219.0
"Plain MF (numpy, r-only)",douban,1,0.8172,252.4
"Plain MF (numpy, r-only)",douban,20,0.8329,194.3
"Plain MF (numpy, r-only)",douban,50,0.8935,196.8
"Plain MF (numpy, r-only)",douban,100,0.9375,201.1
"Plain MF (numpy, r-only)",amazon-games,2,1.2098,81.3
"Plain MF (numpy, r-only)",amazon-games,4,1.2026,81.8
"Plain MF (numpy, r-only)",amazon-games,5,1.2176,82.8
"Plain MF (numpy, r-only)",amazon-games,3,1.2021,84.4
"Plain MF (numpy, r-only)",amazon-games,10,1.2162,84.9
"Plain MF (numpy, r-only)",amazon-games,1,1.1977,98.6
"Plain MF (numpy, r-only)",amazon-games,20,1.204,75.8
"Plain MF (numpy, r-only)",amazon-games,50,1.1883,76.9
"Plain MF (numpy, r-only)",amazon-games,100,1.183,77.8
