method,dataset,r,lam,val_rmse,seconds
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.0,0.9487,32.3
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.01,0.9964,31.9
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.001,0.9486,32.7
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.3,1.0438,32.1
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.2,1.0438,32.9
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.1,1.0438,34.9
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.35,1.0438,32.1
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.42,1.0438,32.3
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.4,1.0438,33.5
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.44,1.0438,33.6
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.46,1.0438,33.8
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.48,1.0438,37.4
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.0,0.8988,31.7
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.001,0.8986,30.5
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.01,0.9129,31.2
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.1,1.0438,31.6
"Lasso MF (numpy, r x lambda)",ml-100k,1,0.5,1.0438,36.8
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.2,1.0438,33.0
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.3,1.0438,32.1
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.35,1.0438,32.5
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.4,1.0438,31.4
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.44,1.0438,31.1
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.42,1.0438,32.7
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.46,1.0438,31.2
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.5,1.0438,32.2
"Lasso MF (numpy, r x lambda)",ml-100k,2,0.48,1.0438,33.0
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.0,0.9134,31.7
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.001,0.9119,32.0
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.01,0.912,31.8
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.1,1.0438,33.0
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.2,1.0438,28.9
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.3,1.0438,28.8
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.42,1.0438,27.8
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.35,1.0438,30.3
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.4,1.0438,29.9
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.44,1.0438,29.2
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.48,1.0438,27.5
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.46,1.0438,27.7
"Lasso MF (numpy, r x lambda)",ml-100k,3,0.5,1.0438,27.9
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.0,0.9484,28.6
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.001,0.9462,28.3
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.01,0.9477,28.9
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.2,1.0438,27.8
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.1,1.0438,28.9
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.3,1.0438,27.5
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.35,1.0438,27.8
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.4,1.0438,28.2
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.42,1.0438,28.6
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.44,1.0438,28.1
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.46,1.0438,28.2
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.48,1.0438,27.7
"Lasso MF (numpy, r x lambda)",ml-100k,4,0.5,1.0438,28.3
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.0,0.9401,28.1
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.001,0.9382,28.0
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.01,0.9213,28.4
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.1,1.0438,28.2
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.2,1.0438,28.7
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.3,1.0438,27.9
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.35,1.0438,28.1
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.4,1.0438,29.3
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.44,1.0438,27.2
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.42,1.0438,29.7
"Lasso MF (numpy, r x lambda)",ml-100k,5,0.46,1.0438,28.0
