method,dataset,p,selective_rmse,best_r,best_lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,0.0,0.9542,3,1.6,0.9469,2889.0
"Ours (numpy, r x lambda)",ml-100k,0.05,0.9434,3,1.6,0.9469,2889.0
"Ours (numpy, r x lambda)",ml-100k,0.1,0.9263,3,1.6,0.9469,2889.0
"Ours (numpy, r x lambda)",ml-100k,0.2,0.9039,3,1.6,0.9469,2889.0
"Ours (numpy, r x lambda)",ml-1m,0.0,0.8682,5,0.7,0.8729,28324.7
"Ours (numpy, r x lambda)",ml-1m,0.05,0.8464,5,0.7,0.8729,28324.7
"Ours (numpy, r x lambda)",ml-1m,0.1,0.8316,5,0.7,0.8729,28324.7
"Ours (numpy, r x lambda)",ml-1m,0.2,0.8072,5,0.7,0.8729,28324.7
"Ours (numpy, r x lambda)",douban,0.0,0.7674,3,0.5,0.7703,37748.9
"Ours (numpy, r x lambda)",douban,0.05,0.7464,3,0.5,0.7703,37748.9
"Ours (numpy, r x lambda)",douban,0.1,0.7317,3,0.5,0.7703,37748.9
"Ours (numpy, r x lambda)",douban,0.2,0.7071,3,0.5,0.7703,37748.9
"Ours (numpy, r x lambda)",amazon-games,0.0,1.174,100,1.6,1.1844,14639.8
"Ours (numpy, r x lambda)",amazon-games,0.05,1.1453,100,1.6,1.1844,14639.8
"Ours (numpy, r x lambda)",amazon-games,0.1,1.1365,100,1.6,1.1844,14639.8
"Ours (numpy, r x lambda)",amazon-games,0.2,1.1325,100,1.6,1.1844,14639.8
