method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.0442,37.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.0442,37.5
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.0442,37.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.0442,43.0
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.0443,37.1
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.0443,36.7
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.0444,37.0
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.0445,42.3
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.0445,36.6
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.0445,36.3
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.0445,36.1
"Ours (numpy, r x lambda)",ml-100k,1,0.06,1.0444,41.8
"Ours (numpy, r x lambda)",ml-100k,1,0.07,1.0442,36.8
"Ours (numpy, r x lambda)",ml-100k,1,0.08,1.0439,36.5
"Ours (numpy, r x lambda)",ml-100k,1,0.09,1.0435,36.4
"Ours (numpy, r x lambda)",ml-100k,1,0.1,1.0428,41.2
"Ours (numpy, r x lambda)",ml-100k,1,0.12,1.0406,36.0
"Ours (numpy, r x lambda)",ml-100k,1,0.15,1.0353,35.8
"Ours (numpy, r x lambda)",ml-100k,1,0.2,1.0224,35.9
"Ours (numpy, r x lambda)",ml-100k,1,0.3,0.9917,42.5
"Ours (numpy, r x lambda)",ml-100k,1,0.4,0.9657,36.9
"Ours (numpy, r x lambda)",ml-100k,1,0.5,0.9542,36.7
"Ours (numpy, r x lambda)",ml-100k,1,0.6,0.951,36.4
"Ours (numpy, r x lambda)",ml-100k,1,0.7,nan,40.8
"Ours (numpy, r x lambda)",ml-100k,1,0.8,nan,35.5
"Ours (numpy, r x lambda)",ml-100k,1,0.9,nan,35.2
"Ours (numpy, r x lambda)",ml-100k,1,1.0,nan,35.2
"Ours (numpy, r x lambda)",ml-100k,1,1.6,nan,35.5
"Ours (numpy, r x lambda)",ml-100k,1,1.4,0.9454,35.8
"Ours (numpy, r x lambda)",ml-100k,1,1.8,0.9451,35.3
"Ours (numpy, r x lambda)",ml-100k,1,1.2,0.9459,40.9
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.0401,28.3
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.0401,28.5
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.04,28.4
"Ours (numpy, r x lambda)",ml-100k,1,2.0,nan,35.3
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.04,28.3
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.0398,28.6
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.0394,28.4
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.0385,28.5
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.0373,28.7
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.0357,28.8
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.0348,28.6
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.0337,28.8
"Ours (numpy, r x lambda)",ml-100k,2,0.06,1.0313,28.1
"Ours (numpy, r x lambda)",ml-100k,2,0.07,1.0284,28.4
"Ours (numpy, r x lambda)",ml-100k,2,0.08,1.0251,28.1
"Ours (numpy, r x lambda)",ml-100k,2,0.09,1.0213,28.0
"Ours (numpy, r x lambda)",ml-100k,2,0.1,1.0172,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.12,1.0081,27.8
"Ours (numpy, r x lambda)",ml-100k,2,0.15,0.9938,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.2,0.9716,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.3,0.9413,27.5
"Ours (numpy, r x lambda)",ml-100k,2,0.4,0.9221,27.8
"Ours (numpy, r x lambda)",ml-100k,2,0.5,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,2,0.6,nan,27.7
"Ours (numpy, r x lambda)",ml-100k,2,0.7,nan,27.5
"Ours (numpy, r x lambda)",ml-100k,2,0.9,nan,27.4
"Ours (numpy, r x lambda)",ml-100k,2,0.8,nan,27.7
"Ours (numpy, r x lambda)",ml-100k,2,1.0,nan,27.6
"Ours (numpy, r x lambda)",ml-100k,2,1.2,nan,28.8
"Ours (numpy, r x lambda)",ml-100k,2,1.4,nan,28.9
"Ours (numpy, r x lambda)",ml-100k,2,1.6,nan,29.0
"Ours (numpy, r x lambda)",ml-100k,2,1.8,nan,29.0
"Ours (numpy, r x lambda)",ml-100k,2,2.0,nan,28.3
"Ours (numpy, r x lambda)",ml-100k,3,0.0,1.0407,28.5
"Ours (numpy, r x lambda)",ml-100k,3,0.0001,1.0407,28.5
