method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.13,71.7
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.13,72.5
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.13,79.0
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.13,76.3
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.13,79.4
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.13,80.4
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.1298,66.9
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.1297,67.2
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.1295,66.4
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.1293,68.2
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.1294,69.2
"Ours (numpy, r x lambda)",ml-100k,1,0.06,1.129,67.6
"Ours (numpy, r x lambda)",ml-100k,1,0.07,1.1287,66.3
"Ours (numpy, r x lambda)",ml-100k,1,0.08,1.1283,68.6
"Ours (numpy, r x lambda)",ml-100k,1,0.15,1.1229,65.7
"Ours (numpy, r x lambda)",ml-100k,1,0.09,1.1279,69.6
"Ours (numpy, r x lambda)",ml-100k,1,0.12,1.126,69.1
"Ours (numpy, r x lambda)",ml-100k,1,0.1,1.1274,70.0
"Ours (numpy, r x lambda)",ml-100k,1,0.2,1.1139,66.8
"Ours (numpy, r x lambda)",ml-100k,1,0.4,1.0761,69.6
"Ours (numpy, r x lambda)",ml-100k,1,0.3,1.0898,71.0
"Ours (numpy, r x lambda)",ml-100k,1,0.5,1.0703,71.3
"Ours (numpy, r x lambda)",ml-100k,1,0.6,1.0684,69.2
"Ours (numpy, r x lambda)",ml-100k,1,0.7,1.0687,71.5
"Ours (numpy, r x lambda)",ml-100k,1,0.8,1.0695,67.0
"Ours (numpy, r x lambda)",ml-100k,1,0.9,1.0659,68.6
"Ours (numpy, r x lambda)",ml-100k,1,1.0,1.0365,68.8
"Ours (numpy, r x lambda)",ml-100k,1,1.4,1.0105,66.8
"Ours (numpy, r x lambda)",ml-100k,1,1.2,1.0114,69.3
"Ours (numpy, r x lambda)",ml-100k,1,1.6,1.0257,70.5
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.1222,57.5
"Ours (numpy, r x lambda)",ml-100k,1,1.8,1.0701,66.8
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.1222,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.1221,58.6
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.1221,56.7
"Ours (numpy, r x lambda)",ml-100k,1,2.0,1.0621,68.7
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.1207,57.5
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.1215,57.9
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.1187,58.1
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.1159,57.9
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.1125,59.7
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.1105,57.1
"Ours (numpy, r x lambda)",ml-100k,2,0.06,1.1033,56.2
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.1083,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.07,1.0974,59.6
"Ours (numpy, r x lambda)",ml-100k,2,0.08,1.0906,60.3
"Ours (numpy, r x lambda)",ml-100k,2,0.09,1.0833,59.1
"Ours (numpy, r x lambda)",ml-100k,2,0.1,1.0756,59.2
"Ours (numpy, r x lambda)",ml-100k,2,0.12,1.0603,59.4
"Ours (numpy, r x lambda)",ml-100k,2,0.15,1.0411,58.7
"Ours (numpy, r x lambda)",ml-100k,2,0.2,1.0186,59.3
"Ours (numpy, r x lambda)",ml-100k,2,0.3,0.9932,57.7
"Ours (numpy, r x lambda)",ml-100k,2,0.4,0.9795,58.2
"Ours (numpy, r x lambda)",ml-100k,2,0.5,0.9715,56.6
"Ours (numpy, r x lambda)",ml-100k,2,0.6,0.9667,57.2
"Ours (numpy, r x lambda)",ml-100k,2,0.7,0.9638,57.8
"Ours (numpy, r x lambda)",ml-100k,2,0.9,0.9627,57.6
"Ours (numpy, r x lambda)",ml-100k,2,0.8,0.9624,59.6
"Ours (numpy, r x lambda)",ml-100k,2,1.2,0.958,58.7
"Ours (numpy, r x lambda)",ml-100k,2,1.0,0.9596,60.6
"Ours (numpy, r x lambda)",ml-100k,2,1.6,0.957,56.2
"Ours (numpy, r x lambda)",ml-100k,2,1.4,0.9573,60.2
"Ours (numpy, r x lambda)",ml-100k,2,1.8,0.9572,59.8
"Ours (numpy, r x lambda)",ml-100k,2,2.0,0.958,58.5
