method,dataset,r,lam,val_rmse,seconds
"Ours (numpy, r x lambda)",ml-100k,1,0.0,1.0442,36.5
"Ours (numpy, r x lambda)",ml-100k,1,0.0005,1.0442,35.7
"Ours (numpy, r x lambda)",ml-100k,1,0.0001,1.0442,37.4
"Ours (numpy, r x lambda)",ml-100k,1,0.001,1.0442,37.2
"Ours (numpy, r x lambda)",ml-100k,1,0.01,1.0443,37.1
"Ours (numpy, r x lambda)",ml-100k,1,0.005,1.0443,37.9
"Ours (numpy, r x lambda)",ml-100k,2,0.0,1.0401,30.0
"Ours (numpy, r x lambda)",ml-100k,1,0.03,1.0445,36.6
"Ours (numpy, r x lambda)",ml-100k,1,0.02,1.0444,37.1
"Ours (numpy, r x lambda)",ml-100k,1,0.04,1.0445,36.8
"Ours (numpy, r x lambda)",ml-100k,1,0.045,1.0445,36.8
"Ours (numpy, r x lambda)",ml-100k,1,0.05,1.0445,38.1
"Ours (numpy, r x lambda)",ml-100k,2,0.0001,1.0401,30.5
"Ours (numpy, r x lambda)",ml-100k,2,0.001,1.04,29.6
"Ours (numpy, r x lambda)",ml-100k,2,0.0005,1.04,29.9
"Ours (numpy, r x lambda)",ml-100k,2,0.005,1.0398,29.0
"Ours (numpy, r x lambda)",ml-100k,2,0.01,1.0394,30.8
"Ours (numpy, r x lambda)",ml-100k,2,0.02,1.0385,30.3
"Ours (numpy, r x lambda)",ml-100k,2,0.03,1.0373,31.1
"Ours (numpy, r x lambda)",ml-100k,2,0.04,1.0357,29.1
"Ours (numpy, r x lambda)",ml-100k,2,0.045,1.0348,29.3
"Ours (numpy, r x lambda)",ml-100k,2,0.05,1.0337,30.8
"Ours (numpy, r x lambda)",ml-100k,3,0.0,1.0407,30.3
"Ours (numpy, r x lambda)",ml-100k,3,0.0001,1.0407,29.4
"Ours (numpy, r x lambda)",ml-100k,3,0.005,1.0404,29.6
"Ours (numpy, r x lambda)",ml-100k,3,0.0005,1.0406,30.5
"Ours (numpy, r x lambda)",ml-100k,3,0.001,1.0406,30.3
"Ours (numpy, r x lambda)",ml-100k,3,0.01,1.0401,30.4
"Ours (numpy, r x lambda)",ml-100k,3,0.02,1.0393,29.9
"Ours (numpy, r x lambda)",ml-100k,3,0.03,1.0382,30.2
"Ours (numpy, r x lambda)",ml-100k,3,0.045,1.036,29.1
"Ours (numpy, r x lambda)",ml-100k,3,0.04,1.0368,30.3
"Ours (numpy, r x lambda)",ml-100k,3,0.05,1.035,31.0
"Ours (numpy, r x lambda)",ml-100k,4,0.0,1.0404,29.8
"Ours (numpy, r x lambda)",ml-100k,4,0.0001,1.0404,29.7
"Ours (numpy, r x lambda)",ml-100k,4,0.0005,1.0404,30.7
"Ours (numpy, r x lambda)",ml-100k,4,0.001,1.0403,29.4
"Ours (numpy, r x lambda)",ml-100k,4,0.01,1.0397,29.7
"Ours (numpy, r x lambda)",ml-100k,4,0.005,1.0401,31.0
"Ours (numpy, r x lambda)",ml-100k,4,0.02,1.0388,29.3
"Ours (numpy, r x lambda)",ml-100k,4,0.03,1.0375,31.5
"Ours (numpy, r x lambda)",ml-100k,4,0.04,1.0358,30.7
"Ours (numpy, r x lambda)",ml-100k,4,0.045,1.0348,29.1
"Ours (numpy, r x lambda)",ml-100k,5,0.0,1.0369,29.3
"Ours (numpy, r x lambda)",ml-100k,4,0.05,1.0337,31.1
"Ours (numpy, r x lambda)",ml-100k,5,0.0001,1.0369,30.5
"Ours (numpy, r x lambda)",ml-100k,5,0.0005,1.0369,30.1
"Ours (numpy, r x lambda)",ml-100k,5,0.001,1.0368,29.9
"Ours (numpy, r x lambda)",ml-100k,5,0.005,1.0363,30.8
"Ours (numpy, r x lambda)",ml-100k,5,0.01,1.0355,30.0
"Ours (numpy, r x lambda)",ml-100k,5,0.03,1.031,30.2
"Ours (numpy, r x lambda)",ml-100k,5,0.02,1.0335,30.4
"Ours (numpy, r x lambda)",ml-100k,5,0.04,1.0278,29.5
"Ours (numpy, r x lambda)",ml-100k,5,0.045,1.026,30.1
"Ours (numpy, r x lambda)",ml-100k,5,0.05,1.024,29.9
"Ours (numpy, r x lambda)",ml-100k,10,0.0,1.0338,30.3
"Ours (numpy, r x lambda)",ml-100k,10,0.0001,1.0337,29.5
"Ours (numpy, r x lambda)",ml-100k,10,0.0005,1.0337,29.8
"Ours (numpy, r x lambda)",ml-100k,10,0.001,1.0336,30.5
"Ours (numpy, r x lambda)",ml-100k,10,0.005,1.0329,30.8
"Ours (numpy, r x lambda)",ml-100k,10,0.01,1.0319,32.0
"Ours (numpy, r x lambda)",ml-100k,10,0.03,1.0263,29.9
"Ours (numpy, r x lambda)",ml-100k,10,0.04,1.0224,30.1
"Ours (numpy, r x lambda)",ml-100k,10,0.02,1.0294,31.5
"Ours (numpy, r x lambda)",ml-100k,10,0.045,1.0203,29.8
"Ours (numpy, r x lambda)",ml-100k,10,0.05,1.0181,30.8
"Ours (numpy, r x lambda)",ml-100k,20,0.0,1.0374,29.9
"Ours (numpy, r x lambda)",ml-100k,20,0.0005,1.0373,29.6
"Ours (numpy, r x lambda)",ml-100k,20,0.0001,1.0374,31.5
"Ours (numpy, r x lambda)",ml-100k,20,0.001,1.0373,32.0
"Ours (numpy, r x lambda)",ml-100k,20,0.005,1.0367,30.7
"Ours (numpy, r x lambda)",ml-100k,20,0.01,1.0358,30.7
"Ours (numpy, r x lambda)",ml-100k,20,0.02,1.0336,30.0
"Ours (numpy, r x lambda)",ml-100k,20,0.03,1.0306,29.7
"Ours (numpy, r x lambda)",ml-100k,20,0.04,1.0269,31.6
"Ours (numpy, r x lambda)",ml-100k,20,0.045,1.0248,31.5
"Ours (numpy, r x lambda)",ml-100k,20,0.05,1.0226,30.3
"Ours (numpy, r x lambda)",ml-100k,50,0.0,1.0355,29.7
"Ours (numpy, r x lambda)",ml-100k,50,0.0001,1.0355,30.2
"Ours (numpy, r x lambda)",ml-100k,50,0.0005,1.0354,30.3
"Ours (numpy, r x lambda)",ml-100k,50,0.001,1.0353,30.2
"Ours (numpy, r x lambda)",ml-100k,50,0.01,1.0333,30.2
"Ours (numpy, r x lambda)",ml-100k,50,0.005,1.0345,31.7
"Ours (numpy, r x lambda)",ml-100k,50,0.02,1.0303,30.2
"Ours (numpy, r x lambda)",ml-100k,50,0.03,1.0263,31.1
"Ours (numpy, r x lambda)",ml-100k,50,0.04,1.0214,30.6
"Ours (numpy, r x lambda)",ml-100k,50,0.045,1.0188,30.9
"Ours (numpy, r x lambda)",ml-100k,100,0.0,1.041,29.9
"Ours (numpy, r x lambda)",ml-100k,50,0.05,1.0162,30.7
"Ours (numpy, r x lambda)",ml-100k,100,0.0001,1.041,30.5
"Ours (numpy, r x lambda)",ml-100k,100,0.001,1.0409,29.5
"Ours (numpy, r x lambda)",ml-100k,100,0.0005,1.041,32.2
"Ours (numpy, r x lambda)",ml-100k,100,0.005,1.0401,30.5
"Ours (numpy, r x lambda)",ml-100k,100,0.02,1.0358,31.1
"Ours (numpy, r x lambda)",ml-100k,100,0.01,1.0389,32.2
"Ours (numpy, r x lambda)",ml-100k,100,0.03,1.0317,30.7
"Ours (numpy, r x lambda)",ml-100k,100,0.04,1.0271,28.8
"Ours (numpy, r x lambda)",ml-100k,100,0.045,1.0246,28.9
"Ours (numpy, r x lambda)",ml-100k,100,0.05,1.0222,29.0
"Ours (numpy, r x lambda)",ml-1m,1,0.005,1.1171,366.5
"Ours (numpy, r x lambda)",ml-1m,1,0.0005,1.1172,368.4
"Ours (numpy, r x lambda)",ml-1m,1,0.0,1.1172,372.1
"Ours (numpy, r x lambda)",ml-1m,1,0.0001,1.1172,371.5
"Ours (numpy, r x lambda)",ml-1m,1,0.001,1.1172,373.4
"Ours (numpy, r x lambda)",ml-1m,1,0.01,1.1168,377.6
"Ours (numpy, r x lambda)",ml-1m,2,0.0,1.1173,301.1
"Ours (numpy, r x lambda)",ml-1m,1,0.02,1.1156,371.5
"Ours (numpy, r x lambda)",ml-1m,1,0.03,1.1129,371.5
"Ours (numpy, r x lambda)",ml-1m,1,0.045,1.1017,377.2
"Ours (numpy, r x lambda)",ml-1m,1,0.05,1.0948,374.0
"Ours (numpy, r x lambda)",ml-1m,1,0.04,1.1068,378.9
"Ours (numpy, r x lambda)",ml-1m,2,0.0001,1.1173,301.4
"Ours (numpy, r x lambda)",ml-1m,2,0.001,1.1173,297.6
"Ours (numpy, r x lambda)",ml-1m,2,0.0005,1.1173,304.4
"Ours (numpy, r x lambda)",ml-1m,2,0.01,1.1169,299.8
"Ours (numpy, r x lambda)",ml-1m,2,0.02,1.1158,300.0
"Ours (numpy, r x lambda)",ml-1m,2,0.005,1.1171,304.5
"Ours (numpy, r x lambda)",ml-1m,2,0.03,1.1133,296.3
"Ours (numpy, r x lambda)",ml-1m,2,0.04,1.1078,297.5
"Ours (numpy, r x lambda)",ml-1m,2,0.05,1.0967,296.6
"Ours (numpy, r x lambda)",ml-1m,3,0.0,1.1167,300.5
"Ours (numpy, r x lambda)",ml-1m,2,0.045,1.1031,307.4
"Ours (numpy, r x lambda)",ml-1m,3,0.0001,1.1167,302.7
"Ours (numpy, r x lambda)",ml-1m,3,0.0005,1.1166,300.7
"Ours (numpy, r x lambda)",ml-1m,3,0.001,1.1166,298.4
"Ours (numpy, r x lambda)",ml-1m,3,0.005,1.1163,297.7
"Ours (numpy, r x lambda)",ml-1m,3,0.01,1.1156,302.2
"Ours (numpy, r x lambda)",ml-1m,3,0.02,1.1128,303.0
"Ours (numpy, r x lambda)",ml-1m,3,0.03,1.1065,300.5
"Ours (numpy, r x lambda)",ml-1m,3,0.04,1.0937,303.1
"Ours (numpy, r x lambda)",ml-1m,3,0.045,1.0846,296.8
"Ours (numpy, r x lambda)",ml-1m,3,0.05,1.0747,299.2
"Ours (numpy, r x lambda)",ml-1m,4,0.0,1.1169,301.6
"Ours (numpy, r x lambda)",ml-1m,4,0.0001,1.1169,302.5
"Ours (numpy, r x lambda)",ml-1m,4,0.0005,1.1169,304.1
"Ours (numpy, r x lambda)",ml-1m,4,0.001,1.1168,300.7
"Ours (numpy, r x lambda)",ml-1m,4,0.005,1.1166,296.7
"Ours (numpy, r x lambda)",ml-1m,4,0.01,1.116,300.1
"Ours (numpy, r x lambda)",ml-1m,4,0.02,1.1136,302.5
"Ours (numpy, r x lambda)",ml-1m,4,0.03,1.108,303.2
"Ours (numpy, r x lambda)",ml-1m,4,0.04,1.0965,307.2
"Ours (numpy, r x lambda)",ml-1m,4,0.045,1.088,304.7
"Ours (numpy, r x lambda)",ml-1m,4,0.05,1.0783,297.9
"Ours (numpy, r x lambda)",ml-1m,5,0.0,1.1162,303.9
"Ours (numpy, r x lambda)",ml-1m,5,0.0001,1.1162,304.1
"Ours (numpy, r x lambda)",ml-1m,5,0.0005,1.1162,304.5
"Ours (numpy, r x lambda)",ml-1m,5,0.001,1.1162,309.6
"Ours (numpy, r x lambda)",ml-1m,5,0.005,1.1158,301.0
"Ours (numpy, r x lambda)",ml-1m,5,0.01,1.1151,303.2
"Ours (numpy, r x lambda)",ml-1m,5,0.02,1.1123,300.9
"Ours (numpy, r x lambda)",ml-1m,5,0.03,1.1062,298.7
"Ours (numpy, r x lambda)",ml-1m,5,0.04,1.0941,300.6
"Ours (numpy, r x lambda)",ml-1m,5,0.045,1.085,309.1
