method,dataset,p,selective_rmse,best_hidden,best_lr,best_weight_decay,val_rmse,seconds
AutoRec (rand),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.2
AutoRec (rand),ml-100k,0.05,0.8891,400,0.01,0.001,0.8978,45.2
AutoRec (rand),ml-100k,0.1,0.8897,400,0.01,0.001,0.8978,45.2
AutoRec (rand),ml-100k,0.2,0.8847,400,0.01,0.001,0.8978,45.2
AutoRec (val),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.2
AutoRec (val),ml-100k,0.05,0.8878,400,0.01,0.001,0.8978,45.2
AutoRec (val),ml-100k,0.1,0.8789,400,0.01,0.001,0.8978,45.2
AutoRec (val),ml-100k,0.2,0.8633,400,0.01,0.001,0.8978,45.2
AutoRec (supp),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.2
AutoRec (supp),ml-100k,0.05,0.8826,400,0.01,0.001,0.8978,45.2
AutoRec (supp),ml-100k,0.1,0.8784,400,0.01,0.001,0.8978,45.2
AutoRec (supp),ml-100k,0.2,0.8743,400,0.01,0.001,0.8978,45.2
AutoRec (rand),ml-1m,0.0,0.8365,800,0.003,0.0001,0.8492,314.3
AutoRec (rand),ml-1m,0.05,0.8366,800,0.003,0.0001,0.8492,314.3
AutoRec (rand),ml-1m,0.1,0.8365,800,0.003,0.0001,0.8492,314.3
AutoRec (rand),ml-1m,0.2,0.8353,800,0.003,0.0001,0.8492,314.3
AutoRec (val),ml-1m,0.0,0.8365,800,0.003,0.0001,0.8492,314.4
AutoRec (val),ml-1m,0.05,0.8385,800,0.003,0.0001,0.8492,314.4
AutoRec (val),ml-1m,0.1,0.8323,800,0.003,0.0001,0.8492,314.4
AutoRec (val),ml-1m,0.2,0.8144,800,0.003,0.0001,0.8492,314.4
AutoRec (supp),ml-1m,0.0,0.8365,800,0.003,0.0001,0.8492,314.4
AutoRec (supp),ml-1m,0.05,0.8321,800,0.003,0.0001,0.8492,314.4
AutoRec (supp),ml-1m,0.1,0.83,800,0.003,0.0001,0.8492,314.4
AutoRec (supp),ml-1m,0.2,0.8264,800,0.003,0.0001,0.8492,314.4
AutoRec (rand),douban,0.0,0.7603,800,0.003,1e-05,0.773,1184.3
AutoRec (rand),douban,0.05,0.7603,800,0.003,1e-05,0.773,1184.3
AutoRec (rand),douban,0.1,0.76,800,0.003,1e-05,0.773,1184.3
AutoRec (rand),douban,0.2,0.7599,800,0.003,1e-05,0.773,1184.3
AutoRec (val),douban,0.0,0.7603,800,0.003,1e-05,0.773,1184.4
AutoRec (val),douban,0.05,0.7526,800,0.003,1e-05,0.773,1184.4
AutoRec (val),douban,0.1,0.7434,800,0.003,1e-05,0.773,1184.4
AutoRec (val),douban,0.2,0.7295,800,0.003,1e-05,0.773,1184.4
AutoRec (supp),douban,0.0,0.7603,800,0.003,1e-05,0.773,1184.4
AutoRec (supp),douban,0.05,0.7555,800,0.003,1e-05,0.773,1184.4
AutoRec (supp),douban,0.1,0.7536,800,0.003,1e-05,0.773,1184.4
AutoRec (supp),douban,0.2,0.7505,800,0.003,1e-05,0.773,1184.4
