method,dataset,p,selective_rmse,best_hidden,best_lr,best_weight_decay,val_rmse,seconds
AutoRec (rand),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.7
AutoRec (rand),ml-100k,0.05,0.8891,400,0.01,0.001,0.8978,45.7
AutoRec (rand),ml-100k,0.1,0.8897,400,0.01,0.001,0.8978,45.7
AutoRec (rand),ml-100k,0.2,0.8847,400,0.01,0.001,0.8978,45.7
AutoRec (val),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.7
AutoRec (val),ml-100k,0.05,0.8878,400,0.01,0.001,0.8978,45.7
AutoRec (val),ml-100k,0.1,0.8789,400,0.01,0.001,0.8978,45.7
AutoRec (val),ml-100k,0.2,0.8633,400,0.01,0.001,0.8978,45.7
AutoRec (supp),ml-100k,0.0,0.8879,400,0.01,0.001,0.8978,45.7
AutoRec (supp),ml-100k,0.05,0.8826,400,0.01,0.001,0.8978,45.7
AutoRec (supp),ml-100k,0.1,0.8784,400,0.01,0.001,0.8978,45.7
AutoRec (supp),ml-100k,0.2,0.8743,400,0.01,0.001,0.8978,45.7
