method,dataset,hidden,lr,weight_decay,val_rmse,seconds
AutoRec,ml-100k,50,0.003,0.0001,0.9142,3.0
AutoRec,ml-100k,50,0.003,0.001,0.9173,1.5
AutoRec,ml-100k,50,0.003,0.01,1.0638,0.4
AutoRec,ml-100k,50,0.01,0.0001,1.126,0.1
AutoRec,ml-100k,50,0.01,0.001,1.1235,0.1
AutoRec,ml-100k,50,0.01,0.01,1.0954,0.2
AutoRec,ml-100k,100,0.003,0.0001,1.1214,0.2
AutoRec,ml-100k,100,0.003,0.001,1.1196,0.2
AutoRec,ml-100k,100,0.003,0.01,1.1155,0.2
AutoRec,ml-100k,100,0.01,0.0001,0.8613,0.9
AutoRec,ml-100k,100,0.01,0.001,0.8634,1.1
AutoRec,ml-100k,100,0.01,0.01,0.9569,0.6
AutoRec,ml-100k,200,0.003,0.0001,1.1441,0.2
AutoRec,ml-100k,200,0.003,0.001,1.1439,0.2
AutoRec,ml-100k,200,0.003,0.01,1.0548,0.3
AutoRec,ml-100k,200,0.01,0.0001,0.8535,0.8
AutoRec,ml-100k,200,0.01,0.001,0.8555,0.8
AutoRec,ml-100k,200,0.01,0.01,0.9192,0.6
AutoRec,ml-1m,50,0.003,0.0001,0.899,5.0
AutoRec,ml-1m,50,0.003,0.001,0.9774,5.0
AutoRec,ml-1m,50,0.003,0.01,1.6676,2.3
AutoRec,ml-1m,50,0.01,0.0001,1.104,0.7
AutoRec,ml-1m,50,0.01,0.001,1.0942,1.2
AutoRec,ml-1m,50,0.01,0.01,1.6215,1.1
AutoRec,ml-1m,100,0.003,0.0001,1.117,0.9
AutoRec,ml-1m,100,0.003,0.001,0.9237,5.6
AutoRec,ml-1m,100,0.003,0.01,1.367,1.3
AutoRec,ml-1m,100,0.01,0.0001,1.1426,0.6
AutoRec,ml-1m,100,0.01,0.001,1.1038,0.9
AutoRec,ml-1m,100,0.01,0.01,1.3127,1.1
AutoRec,ml-1m,200,0.003,0.0001,1.1457,0.7
AutoRec,ml-1m,200,0.003,0.001,1.1468,0.7
AutoRec,ml-1m,200,0.003,0.01,1.2307,1.1
AutoRec,ml-1m,200,0.01,0.0001,0.8789,4.8
AutoRec,ml-1m,200,0.01,0.001,1.1526,0.5
AutoRec,ml-1m,200,0.01,0.01,1.1331,1.1
AutoRec,douban,50,0.003,0.0001,0.8954,16.8
AutoRec,douban,50,0.003,0.001,0.9772,5.5
AutoRec,douban,50,0.003,0.01,1.2512,4.3
AutoRec,douban,50,0.01,0.0001,1.0682,1.9
AutoRec,douban,50,0.01,0.001,0.9936,3.1
AutoRec,douban,50,0.01,0.01,1.1681,2.6
AutoRec,douban,100,0.003,0.0001,1.0713,2.5
AutoRec,douban,100,0.003,0.001,1.0702,2.5
AutoRec,douban,100,0.003,0.01,1.1283,3.7
AutoRec,douban,100,0.01,0.0001,1.0482,1.6
AutoRec,douban,100,0.01,0.001,1.0128,2.6
AutoRec,douban,100,0.01,0.01,1.1335,2.1
AutoRec,douban,200,0.003,0.0001,1.0913,2.3
AutoRec,douban,200,0.003,0.001,1.0938,2.4
AutoRec,douban,200,0.003,0.01,1.0768,4.0
AutoRec,douban,200,0.01,0.0001,0.7764,20.9
AutoRec,douban,200,0.01,0.001,0.8202,8.8
AutoRec,douban,200,0.01,0.01,1.0509,2.5
