method,dataset,p,selective_rmse,best_sigma,val_rmse,seconds
SoftImpute (rand),ml-100k,0.0,0.8891,10.0,0.9138,34.0
SoftImpute (rand),ml-100k,0.05,0.89,10.0,0.9138,34.0
SoftImpute (rand),ml-100k,0.1,0.893,10.0,0.9138,34.0
SoftImpute (rand),ml-100k,0.2,0.8959,10.0,0.9138,34.0
SoftImpute (supp),ml-100k,0.0,0.8891,10.0,0.9138,34.0
SoftImpute (supp),ml-100k,0.05,0.8844,10.0,0.9138,34.0
SoftImpute (supp),ml-100k,0.1,0.8804,10.0,0.9138,34.0
SoftImpute (supp),ml-100k,0.2,0.8739,10.0,0.9138,34.0
SoftImpute (rand),ml-1m,0.0,0.881,10.0,0.8979,4688.7
SoftImpute (rand),ml-1m,0.05,0.8816,10.0,0.8979,4688.7
SoftImpute (rand),ml-1m,0.1,0.8816,10.0,0.8979,4688.7
SoftImpute (rand),ml-1m,0.2,0.8806,10.0,0.8979,4688.7
SoftImpute (supp),ml-1m,0.0,0.881,10.0,0.8979,4688.8
SoftImpute (supp),ml-1m,0.05,0.8752,10.0,0.8979,4688.8
SoftImpute (supp),ml-1m,0.1,0.8719,10.0,0.8979,4688.8
SoftImpute (supp),ml-1m,0.2,0.8684,10.0,0.8979,4688.8
SoftImpute (rand),douban,0.0,0.7706,10.0,0.79,2181.7
SoftImpute (rand),douban,0.05,0.7705,10.0,0.79,2181.7
SoftImpute (rand),douban,0.1,0.7704,10.0,0.79,2181.7
SoftImpute (rand),douban,0.2,0.7708,10.0,0.79,2181.7
SoftImpute (supp),douban,0.0,0.7706,10.0,0.79,2181.8
SoftImpute (supp),douban,0.05,0.7636,10.0,0.79,2181.8
SoftImpute (supp),douban,0.1,0.7598,10.0,0.79,2181.8
SoftImpute (supp),douban,0.2,0.7537,10.0,0.79,2181.8
SoftImpute (rand),ml-100k,0.0,0.889,10.0,0.9138,365.5
SoftImpute (rand),ml-100k,0.05,0.8899,10.0,0.9138,365.5
SoftImpute (rand),ml-100k,0.1,0.8929,10.0,0.9138,365.5
SoftImpute (rand),ml-100k,0.2,0.8958,10.0,0.9138,365.5
SoftImpute (val),ml-100k,0.0,0.889,10.0,0.9138,365.5
SoftImpute (val),ml-100k,0.05,0.8854,10.0,0.9138,365.5
SoftImpute (val),ml-100k,0.1,0.8803,10.0,0.9138,365.5
SoftImpute (val),ml-100k,0.2,0.8615,10.0,0.9138,365.5
SoftImpute (supp),ml-100k,0.0,0.889,10.0,0.9138,365.5
SoftImpute (supp),ml-100k,0.05,0.8843,10.0,0.9138,365.5
SoftImpute (supp),ml-100k,0.1,0.8803,10.0,0.9138,365.5
SoftImpute (supp),ml-100k,0.2,0.8738,10.0,0.9138,365.5
SoftImpute (rand),ml-1m,0.0,0.8657,20.0,0.886,5168.0
SoftImpute (rand),ml-1m,0.05,0.8662,20.0,0.886,5168.0
SoftImpute (rand),ml-1m,0.1,0.8659,20.0,0.886,5168.0
SoftImpute (rand),ml-1m,0.2,0.8648,20.0,0.886,5168.0
SoftImpute (val),ml-1m,0.0,0.8657,20.0,0.886,5168.1
SoftImpute (val),ml-1m,0.05,0.8643,20.0,0.886,5168.1
SoftImpute (val),ml-1m,0.1,0.8576,20.0,0.886,5168.1
SoftImpute (val),ml-1m,0.2,0.8411,20.0,0.886,5168.1
SoftImpute (supp),ml-1m,0.0,0.8657,20.0,0.886,5168.1
SoftImpute (supp),ml-1m,0.05,0.8587,20.0,0.886,5168.1
SoftImpute (supp),ml-1m,0.1,0.8543,20.0,0.886,5168.1
SoftImpute (supp),ml-1m,0.2,0.8487,20.0,0.886,5168.1
