method,dataset,p,selective_rmse,best_sigma,val_rmse,seconds
SoftImpute (rand),ml-100k,0.0,0.9551,10.0,0.966,111.3
SoftImpute (rand),ml-100k,0.05,0.9576,10.0,0.966,111.3
SoftImpute (rand),ml-100k,0.1,0.9582,10.0,0.966,111.3
SoftImpute (rand),ml-100k,0.2,0.957,10.0,0.966,111.3
SoftImpute (val),ml-100k,0.0,0.9551,10.0,0.966,111.3
SoftImpute (val),ml-100k,0.05,0.9525,10.0,0.966,111.3
SoftImpute (val),ml-100k,0.1,0.9468,10.0,0.966,111.3
SoftImpute (val),ml-100k,0.2,0.932,10.0,0.966,111.3
SoftImpute (supp),ml-100k,0.0,0.9551,10.0,0.966,111.3
SoftImpute (supp),ml-100k,0.05,0.9484,10.0,0.966,111.3
SoftImpute (supp),ml-100k,0.1,0.9423,10.0,0.966,111.3
SoftImpute (supp),ml-100k,0.2,0.9408,10.0,0.966,111.3
SoftImpute (rand),ml-1m,0.0,0.8662,20.0,0.8866,2956.3
SoftImpute (rand),ml-1m,0.05,0.8667,20.0,0.8866,2956.3
SoftImpute (rand),ml-1m,0.1,0.8665,20.0,0.8866,2956.3
SoftImpute (rand),ml-1m,0.2,0.8653,20.0,0.8866,2956.3
SoftImpute (val),ml-1m,0.0,0.8662,20.0,0.8866,2956.3
SoftImpute (val),ml-1m,0.05,0.8648,20.0,0.8866,2956.3
SoftImpute (val),ml-1m,0.1,0.858,20.0,0.8866,2956.3
SoftImpute (val),ml-1m,0.2,0.8416,20.0,0.8866,2956.3
SoftImpute (supp),ml-1m,0.0,0.8662,20.0,0.8866,2956.4
SoftImpute (supp),ml-1m,0.05,0.8592,20.0,0.8866,2956.4
SoftImpute (supp),ml-1m,0.1,0.8548,20.0,0.8866,2956.4
SoftImpute (supp),ml-1m,0.2,0.8492,20.0,0.8866,2956.4
