method,dataset,sigma,val_rmse,seconds
SoftImpute,ml-100k,0.01,1.0437,0.3
SoftImpute,ml-100k,0.1,1.0431,0.2
SoftImpute,ml-100k,1.0,0.9557,9.8
SoftImpute,ml-100k,3.0,0.9295,9.6
SoftImpute,ml-100k,10.0,0.9138,5.8
SoftImpute,ml-100k,30.0,0.9766,2.4
SoftImpute,ml-100k,100.0,1.0438,0.1
SoftImpute,ml-1m,0.01,1.1177,17.6
SoftImpute,ml-1m,0.1,1.1156,56.5
SoftImpute,ml-1m,1.0,0.9732,1102.0
SoftImpute,ml-1m,3.0,0.9325,1047.6
SoftImpute,ml-1m,10.0,0.8979,930.3
SoftImpute,ml-1m,30.0,0.9008,475.4
SoftImpute,ml-1m,100.0,1.0255,195.8
SoftImpute,douban,0.01,0.9426,7.7
SoftImpute,douban,0.1,0.9422,7.6
SoftImpute,douban,1.0,0.8541,443.1
SoftImpute,douban,3.0,0.8188,444.9
SoftImpute,douban,10.0,0.79,438.7
SoftImpute,douban,30.0,0.81,288.9
SoftImpute,douban,100.0,0.914,108.9
SoftImpute,ml-100k,5.0,0.9202,82.8
SoftImpute,ml-100k,7.0,0.9151,74.6
SoftImpute,ml-100k,13.0,0.918,55.2
SoftImpute,ml-100k,15.0,0.9234,49.4
SoftImpute,ml-100k,20.0,0.9407,40.4
SoftImpute,ml-1m,5.0,0.9177,957.2
SoftImpute,ml-1m,7.0,0.9082,1003.6
SoftImpute,ml-1m,13.0,0.8906,903.0
SoftImpute,ml-1m,15.0,0.8878,828.0
SoftImpute,ml-1m,20.0,0.886,739.6
