method,dataset,sigma,val_rmse,seconds
SoftImpute,ml-100k,0.01,1.1307,0.5
SoftImpute,ml-100k,0.1,1.1106,7.1
SoftImpute,ml-100k,1.0,1.0164,17.3
SoftImpute,ml-100k,3.0,0.9932,14.9
SoftImpute,ml-100k,5.0,0.9803,13.0
SoftImpute,ml-100k,7.0,0.9718,11.5
SoftImpute,ml-100k,10.0,0.966,9.9
SoftImpute,ml-100k,13.0,0.9674,8.7
SoftImpute,ml-100k,15.0,0.9721,7.9
SoftImpute,ml-100k,20.0,0.9923,6.4
SoftImpute,ml-100k,30.0,1.0365,3.8
SoftImpute,ml-100k,100.0,1.1307,0.2
SoftImpute,ml-1m,0.01,1.1177,17.6
SoftImpute,ml-1m,0.1,1.1156,56.6
SoftImpute,ml-1m,1.0,0.9732,1088.8
SoftImpute,ml-1m,3.0,0.9325,1051.2
SoftImpute,ml-1m,5.0,0.9184,1016.5
SoftImpute,ml-1m,7.0,0.9088,1007.7
SoftImpute,ml-1m,10.0,0.8979,961.1
SoftImpute,ml-1m,13.0,0.8908,887.0
SoftImpute,ml-1m,15.0,0.888,839.9
SoftImpute,ml-1m,20.0,0.8866,681.2
SoftImpute,ml-1m,30.0,0.9008,504.1
SoftImpute,ml-1m,100.0,1.0255,207.7
