method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_weight_decay,val_rmse,seconds
IGMC (rand),ml-100k,0.0,0.8841,16,3,0.003,0.0001,0.8986,248.4
IGMC (rand),ml-100k,0.05,0.8846,16,3,0.003,0.0001,0.8986,248.4
IGMC (rand),ml-100k,0.1,0.8865,16,3,0.003,0.0001,0.8986,248.4
IGMC (rand),ml-100k,0.2,0.8877,16,3,0.003,0.0001,0.8986,248.4
IGMC (supp),ml-100k,0.0,0.8841,16,3,0.003,0.0001,0.8986,248.4
IGMC (supp),ml-100k,0.05,0.8833,16,3,0.003,0.0001,0.8986,248.4
IGMC (supp),ml-100k,0.1,0.883,16,3,0.003,0.0001,0.8986,248.4
IGMC (supp),ml-100k,0.2,0.8741,16,3,0.003,0.0001,0.8986,248.4
IGMC (rand),ml-1m,0.0,0.9311,16,3,0.003,0.0001,0.9396,2602.0
IGMC (rand),ml-1m,0.05,0.9312,16,3,0.003,0.0001,0.9396,2602.0
IGMC (rand),ml-1m,0.1,0.9309,16,3,0.003,0.0001,0.9396,2602.0
IGMC (rand),ml-1m,0.2,0.9298,16,3,0.003,0.0001,0.9396,2602.0
IGMC (supp),ml-1m,0.0,0.9311,16,3,0.003,0.0001,0.9396,2602.1
IGMC (supp),ml-1m,0.05,0.9294,16,3,0.003,0.0001,0.9396,2602.1
IGMC (supp),ml-1m,0.1,0.9289,16,3,0.003,0.0001,0.9396,2602.1
IGMC (supp),ml-1m,0.2,0.9282,16,3,0.003,0.0001,0.9396,2602.1
IGMC (rand),douban,0.0,0.8004,16,3,0.003,0.0,0.8069,2748.8
IGMC (rand),douban,0.05,0.8007,16,3,0.003,0.0,0.8069,2748.8
IGMC (rand),douban,0.1,0.8004,16,3,0.003,0.0,0.8069,2748.8
IGMC (rand),douban,0.2,0.8011,16,3,0.003,0.0,0.8069,2748.8
IGMC (supp),douban,0.0,0.8004,16,3,0.003,0.0,0.8069,2748.9
IGMC (supp),douban,0.05,0.7964,16,3,0.003,0.0,0.8069,2748.9
IGMC (supp),douban,0.1,0.7948,16,3,0.003,0.0,0.8069,2748.9
IGMC (supp),douban,0.2,0.7915,16,3,0.003,0.0,0.8069,2748.9
IGMC (rand),amazon-games,0.0,1.0444,16,3,0.003,0.0001,1.0666,6452.3
IGMC (rand),amazon-games,0.05,1.0446,16,3,0.003,0.0001,1.0666,6452.3
IGMC (rand),amazon-games,0.1,1.042,16,3,0.003,0.0001,1.0666,6452.3
IGMC (rand),amazon-games,0.2,1.0428,16,3,0.003,0.0001,1.0666,6452.3
IGMC (supp),amazon-games,0.0,1.0444,16,3,0.003,0.0001,1.0666,6452.3
IGMC (supp),amazon-games,0.05,1.04,16,3,0.003,0.0001,1.0666,6452.3
IGMC (supp),amazon-games,0.1,1.0372,16,3,0.003,0.0001,1.0666,6452.3
IGMC (supp),amazon-games,0.2,1.0338,16,3,0.003,0.0001,1.0666,6452.3
