method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_weight_decay,val_rmse,seconds
IGMC (rand),ml-1m,0.0,0.9315,16,3,0.003,0.0001,0.9393,4391.2
IGMC (rand),ml-1m,0.05,0.9315,16,3,0.003,0.0001,0.9393,4391.2
IGMC (rand),ml-1m,0.1,0.9312,16,3,0.003,0.0001,0.9393,4391.2
IGMC (rand),ml-1m,0.2,0.9302,16,3,0.003,0.0001,0.9393,4391.2
IGMC (val),ml-1m,0.0,0.9315,16,3,0.003,0.0001,0.9393,4391.2
IGMC (val),ml-1m,0.05,0.9294,16,3,0.003,0.0001,0.9393,4391.2
IGMC (val),ml-1m,0.1,0.9218,16,3,0.003,0.0001,0.9393,4391.2
IGMC (val),ml-1m,0.2,0.9073,16,3,0.003,0.0001,0.9393,4391.2
IGMC (supp),ml-1m,0.0,0.9315,16,3,0.003,0.0001,0.9393,4391.2
IGMC (supp),ml-1m,0.05,0.9297,16,3,0.003,0.0001,0.9393,4391.2
IGMC (supp),ml-1m,0.1,0.9293,16,3,0.003,0.0001,0.9393,4391.2
IGMC (supp),ml-1m,0.2,0.9286,16,3,0.003,0.0001,0.9393,4391.2
IGMC (rand),douban,0.0,0.7996,16,3,0.003,0.0,0.8074,4043.9
IGMC (rand),douban,0.05,0.7999,16,3,0.003,0.0,0.8074,4043.9
IGMC (rand),douban,0.1,0.7997,16,3,0.003,0.0,0.8074,4043.9
IGMC (rand),douban,0.2,0.8004,16,3,0.003,0.0,0.8074,4043.9
IGMC (val),douban,0.0,0.7996,16,3,0.003,0.0,0.8074,4044.0
IGMC (val),douban,0.05,0.7931,16,3,0.003,0.0,0.8074,4044.0
IGMC (val),douban,0.1,0.7873,16,3,0.003,0.0,0.8074,4044.0
IGMC (val),douban,0.2,0.7786,16,3,0.003,0.0,0.8074,4044.0
IGMC (supp),douban,0.0,0.7996,16,3,0.003,0.0,0.8074,4044.0
IGMC (supp),douban,0.05,0.7956,16,3,0.003,0.0,0.8074,4044.0
IGMC (supp),douban,0.1,0.7941,16,3,0.003,0.0,0.8074,4044.0
IGMC (supp),douban,0.2,0.7908,16,3,0.003,0.0,0.8074,4044.0
IGMC (rand),amazon-games,0.0,1.0423,16,3,0.003,0.0001,1.067,1597.7
IGMC (rand),amazon-games,0.05,1.0423,16,3,0.003,0.0001,1.067,1597.7
IGMC (rand),amazon-games,0.1,1.0398,16,3,0.003,0.0001,1.067,1597.7
IGMC (rand),amazon-games,0.2,1.0406,16,3,0.003,0.0001,1.067,1597.7
IGMC (val),amazon-games,0.0,1.0423,16,3,0.003,0.0001,1.067,1597.8
IGMC (val),amazon-games,0.05,1.0158,16,3,0.003,0.0001,1.067,1597.8
IGMC (val),amazon-games,0.1,0.9898,16,3,0.003,0.0001,1.067,1597.8
IGMC (val),amazon-games,0.2,0.9424,16,3,0.003,0.0001,1.067,1597.8
IGMC (supp),amazon-games,0.0,1.0423,16,3,0.003,0.0001,1.067,1597.8
IGMC (supp),amazon-games,0.05,1.0379,16,3,0.003,0.0001,1.067,1597.8
IGMC (supp),amazon-games,0.1,1.0351,16,3,0.003,0.0001,1.067,1597.8
IGMC (supp),amazon-games,0.2,1.0318,16,3,0.003,0.0001,1.067,1597.8
