method,dataset,p,selective_rmse,best_hidden,best_layers,best_lr,best_weight_decay,val_rmse,seconds
IGMC (rand),ml-100k,0.0,0.9775,16,3,0.003,0.0001,0.9807,391.4
IGMC (rand),ml-100k,0.05,0.9779,16,3,0.003,0.0001,0.9807,391.4
IGMC (rand),ml-100k,0.1,0.9785,16,3,0.003,0.0001,0.9807,391.4
IGMC (rand),ml-100k,0.2,0.9772,16,3,0.003,0.0001,0.9807,391.4
IGMC (val),ml-100k,0.0,0.9775,16,3,0.003,0.0001,0.9807,391.4
IGMC (val),ml-100k,0.05,0.971,16,3,0.003,0.0001,0.9807,391.4
IGMC (val),ml-100k,0.1,0.9652,16,3,0.003,0.0001,0.9807,391.4
IGMC (val),ml-100k,0.2,0.9545,16,3,0.003,0.0001,0.9807,391.4
IGMC (supp),ml-100k,0.0,0.9775,16,3,0.003,0.0001,0.9807,391.4
IGMC (supp),ml-100k,0.05,0.9738,16,3,0.003,0.0001,0.9807,391.4
IGMC (supp),ml-100k,0.1,0.9712,16,3,0.003,0.0001,0.9807,391.4
IGMC (supp),ml-100k,0.2,0.9691,16,3,0.003,0.0001,0.9807,391.4
