method,dataset,hidden_dim,n_layers,lr,weight_decay,val_rmse,seconds
IGMC,ml-100k,16,2,0.003,0.0,0.9287,178.1
IGMC,ml-100k,16,2,0.003,0.0001,0.9274,226.5
IGMC,ml-100k,16,3,0.003,0.0,0.8992,139.6
IGMC,ml-100k,16,3,0.003,0.0001,0.8986,170.5
IGMC,ml-100k,32,2,0.003,0.0,0.9248,115.6
IGMC,ml-100k,32,2,0.003,0.0001,0.9247,121.9
IGMC,ml-100k,32,3,0.003,0.0,0.8991,92.2
IGMC,ml-100k,32,3,0.003,0.0001,0.8996,95.7
IGMC,ml-1m,16,2,0.003,0.0,0.9693,1783.0
IGMC,ml-1m,16,2,0.003,0.0001,0.968,1807.9
IGMC,ml-1m,16,3,0.003,0.0,0.9403,1266.0
IGMC,ml-1m,16,3,0.003,0.0001,0.9396,1903.1
IGMC,ml-1m,32,2,0.003,0.0,0.9612,1853.2
IGMC,ml-1m,32,2,0.003,0.0001,0.9632,1838.4
IGMC,ml-1m,32,3,0.003,0.0,0.9407,896.9
IGMC,ml-1m,32,3,0.003,0.0001,0.9402,1328.8
IGMC,douban,16,2,0.003,0.0,0.8253,1678.0
IGMC,douban,16,2,0.003,0.0001,0.8269,2609.0
IGMC,douban,16,3,0.003,0.0,0.8069,1180.4
IGMC,douban,16,3,0.003,0.0001,0.807,1011.5
IGMC,douban,32,2,0.003,0.0,0.8181,1497.3
IGMC,douban,32,2,0.003,0.0001,0.8235,1491.3
IGMC,douban,32,3,0.003,0.0,0.807,1125.4
IGMC,douban,32,3,0.003,0.0001,0.807,1122.9
IGMC,amazon-games,16,2,0.003,0.0,1.0712,664.9
IGMC,amazon-games,16,2,0.003,0.0001,1.0706,954.9
IGMC,amazon-games,16,3,0.003,0.0,1.0681,905.1
IGMC,amazon-games,16,3,0.003,0.0001,1.0666,775.2
IGMC,amazon-games,32,2,0.003,0.0,1.0705,463.1
IGMC,amazon-games,32,2,0.003,0.0001,1.0702,728.4
IGMC,amazon-games,32,3,0.003,0.0,1.0698,532.6
IGMC,amazon-games,32,3,0.003,0.0001,1.0683,728.8
