method,coverage,abstain_frac,n_kept,rmse
residual uncertainty: item,1.0,0.0,10084,0.8288323879241943
residual uncertainty: item,0.9,0.09999999999999998,9076,0.8159929513931274
residual uncertainty: item,0.8,0.19999999999999996,8067,0.8058196306228638
residual uncertainty: item,0.7,0.30000000000000004,7059,0.7953122854232788
residual uncertainty: item,0.6,0.4,6050,0.7873669266700745
residual uncertainty: item,0.5,0.5,5042,0.77891606092453
residual uncertainty: user+item,1.0,0.0,10084,0.8288323879241943
residual uncertainty: user+item,0.9,0.09999999999999998,9076,0.7881024479866028
residual uncertainty: user+item,0.8,0.19999999999999996,8067,0.7548657655715942
residual uncertainty: user+item,0.7,0.30000000000000004,7059,0.7337425947189331
residual uncertainty: user+item,0.6,0.4,6050,0.7112883925437927
residual uncertainty: user+item,0.5,0.5,5042,0.6948991417884827
heteroscedastic variance,1.0,0.0,10084,0.8263323903083801
heteroscedastic variance,0.9,0.09999999999999998,9076,0.7698357701301575
heteroscedastic variance,0.8,0.19999999999999996,8067,0.731957733631134
heteroscedastic variance,0.7,0.30000000000000004,7059,0.7049977779388428
heteroscedastic variance,0.6,0.4,6050,0.675762951374054
heteroscedastic variance,0.5,0.5,5042,0.6426492929458618
random abstention (vanilla pred),1.0,0.0,10084,0.8288323879241943
random abstention (vanilla pred),0.9,0.09999999999999998,9076,0.828847324848175
random abstention (vanilla pred),0.8,0.19999999999999996,8067,0.8288548094034195
random abstention (vanilla pred),0.7,0.30000000000000004,7059,0.8286900758743286
random abstention (vanilla pred),0.6,0.4,6050,0.8289597105979919
random abstention (vanilla pred),0.5,0.5,5042,0.8281991255283355
oracle error ranking (not usable),1.0,0.0,10084,0.8288323879241943
oracle error ranking (not usable),0.9,0.09999999999999998,9076,0.6174237728118896
oracle error ranking (not usable),0.8,0.19999999999999996,8067,0.5086781978607178
oracle error ranking (not usable),0.7,0.30000000000000004,7059,0.4242962598800659
oracle error ranking (not usable),0.6,0.4,6050,0.35173511505126953
oracle error ranking (not usable),0.5,0.5,5042,0.2871458828449249
